Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,Winter Season,Pre-Monsoon Season,Monsoon Season,Post-Monsoon Season
,,,,,,,,,,,,,,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
1901,26.6,29,13.1,19.5,22.9,104.2,283.1,325.2,114.6,33.9,15.7,2.8,990.7,55.6,55.6,827.1,52.4
1902,7.2,2.8,2.1,18.5,12.3,63.3,333.3,228.4,212,28.3,19.2,22.9,950.3,10,32.9,837,70.4
1903,6.4,5.7,1.9,6.7,46.6,94.6,380.5,281.4,204.5,113.6,7.9,2.1,1151.7,12.1,55.2,960.9,123.6
1904,1.3,9.6,20.6,2,29.7,184.4,265,212.8,156.6,57.6,0.9,4,944.6,10.9,52.3,818.9,62.5
1905,13.2,8.4,14.9,14.9,24.6,57.6,342.5,172.8,203.2,16.9,1.5,0.2,870.6,21.5,54.4,776.1,18.6
1906,10.8,32.6,18.9,0.7,9.2,215.7,354.2,232.5,203.7,25.5,6.6,10.8,1121.2,43.4,28.9,1006.1,42.8
1907,2.7,31.6,14.1,40.6,7.5,148.3,262.9,405.5,76.3,3.7,7.7,7.7,1008.5,34.3,62.2,892.9,19
1908,11.5,11.1,7.4,3.5,11.2,142.7,407.3,387.7,132.7,13.2,0.6,1.3,1130.2,22.6,22.1,1070.4,15.1
1909,5.3,5.9,2.9,52.8,18.2,211.3,378,202.5,162.8,12.9,0.8,34.2,1087.5,11.2,73.9,954.5,47.9
1910,4.1,0.1,0.8,10.8,14.1,242.3,252,323,225.6,77.6,30.6,0,1181.1,4.3,25.7,1042.9,108.2
1911,8,0.6,14.6,2.8,12.1,209.6,160.6,271.8,172.5,44.2,29.9,1.4,928,8.6,29.5,814.5,75.5
1912,2,31.5,1.8,12.5,11.8,88.6,421.2,306.7,114.1,25.4,39,0.6,1055.2,33.5,26.1,930.5,65
1913,0.7,29,8.4,4.2,32.9,247.3,354,229.1,103,35.4,4.5,10.1,1058.6,29.7,45.5,933.5,50
1914,0,8.6,13.7,21.2,41.6,203.2,409.3,245,239.7,10.5,8.8,5.9,1207.4,8.6,76.6,1097.1,25.1
1915,15.3,18.2,31.8,13.6,19.2,166.9,256.8,234.9,183.9,103.6,26,5.8,1076,33.6,64.6,842.5,135.3
1916,0,10.5,0.8,6.9,25.1,241.1,265.6,360.8,214.3,128.4,33.6,0,1287,10.5,32.7,1081.8,162
1917,2.9,40.4,13.8,8.8,57.6,234.2,307.4,343.7,286.4,179.4,9.1,0.7,1484.3,43.3,80.2,1171.7,189.1
1918,4.4,1.9,4.4,5.5,65.1,202.1,155.6,247.8,84.7,3.5,12.6,6.6,794.2,6.3,75,690.2,22.7
1919,48.5,23.1,10.9,9.2,26.2,227.7,338.1,423.8,125.6,68.1,28.9,1.9,1331.9,71.6,46.3,1115.1,98.9
1920,23.5,3.9,12.7,10.3,23.6,144.8,346.2,189.9,94.9,11.2,0.3,0,861.4,27.4,46.6,775.7,11.6
1921,21.3,0.8,0.3,5.9,2.9,185.7,316.1,257,242.8,20.8,3.9,0,1057.6,22.1,9.1,1001.6,24.8
1922,23.2,2.1,0.4,6.7,13.6,180.9,353.1,182.3,242.8,19.9,50,2.5,1077.5,25.3,20.7,959.1,72.4
1923,1.8,16.6,16.7,6.3,8.5,46.2,400.8,312.8,182.4,28.7,11.5,3.3,1035.6,18.4,31.4,942.1,43.6
1924,16.3,3.8,3.1,6.4,16.6,77.2,307.7,282.3,214,61.8,41.9,6.4,1037.6,20.2,26.1,881.2,110.2
1925,0.3,0.1,2.1,9.9,51,244.4,328,247.8,105.7,45.9,33.2,3,1071.4,0.4,63,925.9,82.1
1926,29.2,4.1,33.6,19.7,27.3,52.2,323.4,456.2,284.2,45.7,1.9,1.6,1279.2,33.3,80.6,1116.1,49.2
