Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,Winter Season,Pre-Monsoon Season,Monsoon Season,Post-Monsoon Season
,,,,,,,,,,,,,,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
1901,51.4,40.6,26,30.1,36.7,24.5,180.9,227.8,74.4,9.7,0,5,706.9,91.9,92.7,507.5,14.7
1902,3.7,5.2,28.4,30.7,29.7,64.8,206.2,137.9,117.1,12.3,9.9,0.8,646.7,8.9,88.8,525.9,23
1903,33.7,6.7,71.2,14.7,23.9,27.3,208.2,238.7,156,72.7,3.2,12.9,869,40.3,109.7,630.2,88.9
1904,35.3,7,60.1,17.4,37.4,57,221.6,193.3,68.7,22.4,14.4,37.1,771.7,42.3,114.9,540.5,73.9
1905,54.5,36,54.7,20.3,24.2,27.4,151.2,114.5,134.5,1.9,0.2,23.8,643.1,90.5,99.2,427.5,25.9
1906,22.6,83.8,52.4,11.4,15.4,89,183.5,203.9,183.4,3.2,0,12.7,861.2,106.5,79.1,659.7,15.9
1907,35.7,91.4,54.4,52.2,23.8,39.1,123.4,257.9,12.6,3.8,0.7,0.2,695.1,127.1,130.3,433.1,4.7
1908,35.8,23.5,8.5,56.3,20.1,41.9,267.5,337.6,69.2,4.4,1.4,20.8,886.9,59.2,84.9,716.1,26.7
1909,35.6,43.7,13.7,48.6,13.9,121.1,288.8,200.6,142.5,15.4,0.1,37.9,961.7,79.2,76.2,753,53.4
1910,37.2,23.8,17,26.6,18.7,118.5,175.4,270.8,115.2,57.3,6,18.1,884.6,61,62.3,679.9,81.4
1911,121.7,13.3,111.2,15.4,6.3,77.9,61.6,145.8,172.5,24.7,44,6.5,800.9,135,132.9,457.8,75.2
1912,60.2,15.1,31.3,30.3,23.9,33.8,235.8,205.8,81.7,2.5,15.5,12,748,75.3,85.5,557.2,30.1
1913,16.7,59.4,39.4,20.8,56.5,119.1,149.9,138.8,40.3,6.8,9.1,27.4,684.2,76.1,116.7,448.2,43.3
1914,13,64.8,50.9,50.1,42.7,71.5,328.1,177.9,137.7,45.7,14.5,24.2,1021.4,77.8,143.8,715.4,84.4
1915,26.3,85.1,54.7,37,13.7,54.5,135.8,198,120,41.4,0.3,7.2,773.9,111.4,105.3,508.3,48.8
1916,9.3,47.1,17,19.7,24.8,122.7,222.3,288.4,128.7,40.5,2.4,1.6,924.6,56.4,61.6,762.1,44.5
1917,18.8,20.8,30.4,56,63.6,135,243.1,268.9,281.4,102.2,0,20.9,1241.1,39.6,150,928.4,123
1918,9.7,7.3,77.3,51.4,8.4,70,78,158.2,32.5,4,9.1,21.5,527.6,17.1,137.2,338.8,34.6
1919,84,29.1,34.3,24.9,23.2,43.6,254.1,241.3,86.8,10.8,5.9,37.6,875.8,113.2,82.5,625.9,54.3
1920,25.3,38.1,60,23.6,45.6,87.2,242.6,103.4,38.5,5.2,0.2,8.6,678.3,63.5,129.2,471.6,14
1921,55.6,17.3,14.6,13.9,7.5,77.3,168.6,256.2,135.9,28.4,0.7,44.3,820.3,72.9,36,638,73.4
1922,39.4,20.3,22.1,21.4,10,75.8,247,216.2,184.9,8.5,1.1,27.8,874.5,59.8,53.5,723.8,37.5
1923,54.6,68.1,27.7,15.7,44.2,24.7,226,273.3,94.8,40.8,3.9,30.5,904.1,122.7,87.5,618.7,75.2
1924,35.7,65,24.9,20.9,39.9,20.2,250.7,208.6,227.2,23.5,8.2,37.6,962.6,100.7,85.8,706.7,69.4
1925,28.3,23,12.3,24.5,40.4,132.8,280.7,164.9,55.8,12.6,25.7,0,801.1,51.3,77.2,634.2,38.4
1926,21.3,19.5,80,39,44.6,18.6,233.7,275.3,143.1,6.9,3.2,8.9,894.2,40.8,163.7,670.7,19
1927,20.7,50.1,28,17,35.6,42.5,237.7,258.3,64.8,33.9,21.9,22.9,833.4,70.8,80.6,603.4,78.6
1928,52.1,80.7,32.1,34.6,9.2,51.9,193.7,160.5,57.7,30.1,31.9,44,778.6,132.8,75.9,463.8,106
1929,46,18.9,12.6,18.1,16.1,70.4,222.8,234.6,28.1,29,0.5,72.6,769.6,64.9,46.8,555.8,102.1
1930,61.8,38.6,31.2,53.5,23.2,64.7,267.5,157,79.1,28.6,1.4,7.4,813.8,100.3,107.8,568.2,37.4
1931,31.3,52.7,20.3,8.8,38.1,18.1,204.4,262.4,135.5,55.3,2,1.6,830.7,84.1,67.2,620.4,59
1932,25.4,28.3,39.2,10.9,27.2,42.7,210.2,208.2,96.4,5.7,6.3,28.4,728.8,53.7,77.3,557.4,40.4
1933,31.5,47.1,52.1,43.9,35,120.4,180,247.6,138.6,45.6,5.2,1.2,948.2,78.6,131,686.6,52
1934,42.7,7.7,30.9,26.4,13.3,96.1,188.4,253.9,78.7,2.3,1.1,25.9,767.4,50.5,70.5,617.1,29.3
1935,69.3,36,34.8,47.7,6.2,32.7,225.5,170.9,107.1,9.9,13.8,13.8,767.7,105.3,88.6,536.3,37.5
1936,15.6,57.1,66,20,18.2,151.7,238.5,197.5,114.9,9.6,10.7,39.8,939.6,72.6,104.2,702.6,60.2
1937,18.7,79.6,24.2,28.9,14.9,65,237.3,138.1,101.7,34.4,4,40.3,787.1,98.2,68,542.1,78.8
1938,69.8,56.9,31.6,19.7,14.4,144.8,200.2,164.2,48,16.7,2.9,6.6,775.7,126.7,65.7,557.2,26.2
1939,26.9,74.6,54.2,18.8,5.9,78.4,155.1,112.6,105.5,19.1,0,0.2,651.4,101.5,78.9,451.6,19.3
1940,40.7,37.4,41.3,22.1,24.1,65.4,180,230.4,54.5,3.6,3.4,12.8,715.8,78.2,87.5,530.2,19.9
1941,38.5,19.7,30.1,10.2,25.4,73.2,109.8,183.4,95.9,6.7,4.5,24.1,621.5,58.2,65.7,462.3,35.3
1942,54,77.9,13.2,29.7,31.8,63.4,267.2,266.8,131.5,5.5,2.1,29.6,972.7,131.9,74.7,728.9,37.2
1943,76.7,11.6,38.8,34,37.6,48,218.8,236.2,125.2,2.9,0.8,7.2,837.9,88.4,110.4,628.1,11
1944,49.2,57.4,53.9,32.5,9,61.4,231.7,260.3,68.3,19.6,8.8,21.6,873.6,106.6,95.4,621.6,50
1945,67.6,6,38.9,34.6,17.8,62.7,239,178.2,184.1,33.5,2.3,3.5,868.2,73.6,91.3,664,39.3
1946,10.5,35.3,24.8,17.3,28.2,92.3,231.9,235.6,52.1,36.6,24.3,34.5,823.5,45.8,70.3,612,95.4
1947,28.2,26.7,25.3,1.8,20.7,38.6,171.5,203.9,219.1,12.8,1.9,25,775.4,55,47.7,633,39.7
1948,32.4,55.3,90.5,13.7,10.4,42.2,263.4,263.9,107.6,19,5.8,22.2,926.5,87.7,114.6,677.2,47
1949,25.4,71.7,34.2,18,24.6,40.2,258.7,159.3,111.7,22.3,2.7,9.5,778.4,97,76.9,569.9,34.5
1950,105.8,29.5,45.8,28.9,21.9,52.4,247.4,223.1,205.1,3.6,0.2,7.2,970.8,135.3,96.5,728.1,10.9
1951,39.3,29.9,45.9,29.5,35.5,52.2,116,184,71.6,9.4,22,7.7,643,69.2,110.9,423.8,39.1
