Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,Winter Season,Pre-Monsoon Season,Monsoon Season,Post-Monsoon Season
,,,,,,,,,,,,,,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
1901,12.9,48,12.4,43.7,75.3,155.8,197.7,147.5,138.2,123.9,128.2,31.8,1115.5,60.9,131.5,639.2,284
1902,15.6,4.3,10.8,30,60.1,117.5,212,165.1,196.3,204.6,90.8,82.1,1189.1,20,100.9,690.8,377.5
1903,11.1,6,0.7,15,99.4,140,300.4,212.6,211.5,169,162.3,66.4,1394.4,17.1,115.1,864.5,397.7
1904,13.9,0.6,5.9,21.1,106.8,191.3,187.1,91,136.4,145,11.7,14.8,925.5,14.5,133.7,605.7,171.5
1905,2.4,8.4,16.9,37.8,78.5,155.6,120.7,192.9,105.7,157.1,42,5.3,923.4,10.8,133.2,575,204.4
1906,37.7,6.6,8.6,7.3,39.4,180.1,224.5,225.9,114.7,123.4,65.8,94.1,1128,44.2,55.3,745.2,283.3
1907,5.5,1.3,20.1,85.2,36,187,206.6,221.6,126.2,78.4,100,36.9,1104.8,6.9,141.3,741.4,215.3
1908,15.9,12.5,11,24.5,57,121.2,239.1,155.4,245,115.7,18.3,8.3,1024,28.4,92.5,760.7,142.4
1909,43.2,3.7,7.8,54.1,106,149.7,218.9,201.4,140.7,76.6,36.1,15.2,1053.4,46.9,167.9,710.7,127.9
1910,2.6,6.6,6.4,25,51.9,180.1,205.6,208,175.6,216,101.5,2.1,1181.4,9.2,83.3,769.2,319.6
1911,0.9,0.6,5.2,21.5,67.2,184.2,188,101.7,108.5,117.6,83.4,47,925.8,1.5,93.9,582.5,248
1912,9.3,11,2.3,29,53.9,136.4,250.9,201.1,143.8,168.4,119.1,6.5,1131.6,20.3,85.3,732.1,294
1913,1.9,4.1,2.8,18.5,73.7,130.6,224.5,96.9,134.8,172.9,49.4,39.4,949.4,6,95,586.7,261.6
1914,1.6,2.3,3.2,29.4,59.7,152.5,279.5,211.4,199.2,123.5,65.6,48.7,1176.5,3.8,92.3,842.5,237.8
1915,28.1,13.2,46.9,32.5,53.7,190.5,196.8,144.4,194.8,135,155.5,20.6,1212,41.4,133.1,726.5,311.1
1916,0.1,2.5,2,21,75.7,193.2,261.3,191.9,194.9,234.4,145,11.2,1333.1,2.5,98.8,841.2,390.6
1917,4,37.9,23.1,16.7,67.7,202.5,160.7,202.6,251.4,176.2,108.8,19,1270.8,41.9,107.6,817.3,304
1918,36.8,2.3,15,18.7,148.9,106.2,88.3,122.3,119,47.9,181.8,37.3,924.5,39,182.7,435.8,267
1919,15.6,4.5,14.2,25.6,80,164.3,190.3,119.6,187.8,131.4,167.6,41.5,1142.1,20.1,119.7,661.9,340.4
1920,43.5,3.2,3,44,50.2,152.8,182,116.4,135.8,132.9,127.2,2.6,993.6,46.7,97.2,587,262.7
1921,45.2,0.4,2,57.3,29,141,228.7,185.5,130.6,175.9,70.8,13.8,1080.2,45.6,88.3,685.8,260.5
1922,36.8,5.7,1.8,29.2,82.3,141.9,220.3,126.3,109.3,146.3,183.2,19.7,1102.7,42.5,113.3,597.8,349.1
1923,33.7,14.7,30.4,23.8,39.4,110.1,280.3,161.2,179.4,116.1,47.5,28.6,1065.1,48.4,93.6,731,192.2
1924,11.4,0.8,12.8,31,60.3,152.6,301,172.4,208.2,83.7,124.7,11.7,1170.7,12.2,104.1,834.2,220.1
1925,4.7,2,20,36.4,118.2,157.6,208.5,194.7,101.9,160.8,108.3,76.2,1189.2,6.6,174.6,662.7,345.3
