Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,Winter Season,Pre-Monsoon Season,Monsoon Season,Post-Monsoon Season
,,,,,,,,,,,,,,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
1901,33.7,36.9,17.9,37.6,52.4,112.3,241.5,268.9,126.1,51.6,38.3,10,1027.3,70.6,108,748.8,99.9
1902,7.4,4.1,18.7,44.2,47.8,109,283.2,202.1,201,62.9,28.9,25.2,1034.5,11.5,110.7,795.2,117
1903,17,8.3,30.8,17.2,59.1,117,292,272,200.1,120.2,40.3,18.2,1192.3,25.3,107.1,881.1,178.7
1904,15.1,9.7,31.8,32.8,72.9,164.4,261.4,204.1,130.6,68.7,11.4,16.4,1019.2,24.8,137.5,760.4,96.4
1905,25.2,20.8,42.1,33.5,54.4,92.3,251.7,201.3,177.4,53.7,9.8,10.4,972.7,46.1,130.1,722.7,73.9
1906,21.5,50.4,31.6,16,36.7,177.9,285.5,248.7,183,50.5,17.9,26.8,1146.6,71.9,84.4,895.1,95.2
1907,16.2,45.6,37.2,62.9,32.2,152.7,223.9,308.9,96.4,23,23.3,13.1,1035.4,61.8,132.3,781.9,59.3
1908,20.9,17.6,8.6,33,44.3,126.4,326.1,313.6,152.9,39,7.1,8.7,1098.5,38.5,86,919.1,54.9
1909,23.6,17.6,7.1,63.1,51.8,206.8,308.2,234.5,162.2,38.1,9.9,29.6,1152.7,41.2,122,911.8,77.6
1910,15.7,10.9,13.5,29.1,41.1,212.2,246.9,289.6,185.6,108.3,34.7,6.3,1193.9,26.6,83.8,934.2,149.3
1911,45.3,5.5,49.3,23,46.6,190.2,163.3,214.7,180.2,70.9,44.1,12.1,1045.2,50.8,118.9,748.4,127.1
1912,22.1,22,20.9,39.6,43,106.8,330.4,262.4,119.4,57.9,51.5,5.8,1081.7,44.2,103.5,818.9,115.2
1913,6.5,40.4,25,26,72.4,213.9,268.1,193.7,109.3,68.6,17.6,24.3,1065.7,46.8,123.4,785.1,110.5
1914,4.7,30.8,27.6,45.1,69,156.5,351.7,242.4,195.3,49.1,21.6,22.7,1216.5,35.5,141.7,945.9,93.4
1915,20.4,41.7,45.4,35.3,61.6,155.8,230.7,228.6,174.3,90.7,45.1,8.6,1138.1,62.2,142.2,789.4,144.3
1916,5.1,22.5,12.3,35.8,59.7,232.4,271.2,314,200.4,139.8,45.9,3.1,1342.4,27.6,107.8,1018.1,188.9
1917,8.6,38.6,22.1,42.9,74.7,233.1,286.8,297.7,282.3,162.4,29.2,10.4,1488.8,47.2,139.7,1099.8,202.1
