year,jun,jul,aug,sep,annual
1979,208.0818181818182,529.3818181818183,719.2,274.1454545454545,432.70227272727277
1980,274.33636363636367,612.2636363636364,307.73636363636365,444.7818181818182,409.7795454545455
1981,522.9727272727273,388.2727272727272,510.07272727272726,269.29999999999995,422.6545454545454
1982,326.9,697.7272727272726,576.6909090909091,349.01818181818186,487.5840909090909
1983,176.04545454545453,302.17272727272723,510.1636363636364,364.3454545454546,338.18181818181813
1984,490.890909090909,273.10909090909087,808.2636363636364,275.1545454545454,461.85454545454536
1985,886.6727272727272,257.96363636363634,522.2727272727273,360.29999999999995,506.8022727272727
1986,193.5,692.7818181818183,784.2090909090908,489.20909090909095,539.925
1987,309.79090909090905,333.0909090909091,382.91818181818184,415.00909090909096,360.2022727272727
1988,413.02727272727276,531.9000000000001,285.8545454545454,301.43636363636364,383.05454545454546
1989,296.81818181818176,558.4181818181819,656.4363636363637,524.4,509.0181818181818
1990,647.1727272727273,533.190909090909,690.8909090909091,447.49090909090904,579.6863636363637
1991,248.5454545454546,525.7181818181818,710.7181818181817,414.49090909090904,474.8681818181818
1992,276.56363636363636,431.8181818181818,733.0545454545455,517.5636363636363,489.75
1993,316.52727272727265,435.4,531.9545454545455,345.1454545454546,407.2568181818182
1994,327.2727272727273,893.6636363636364,398.3363636363636,363.91818181818184,495.7977272727273
1995,270.6636363636364,392.9,516.8454545454545,543.6545454545455,431.0159090909091
1996,157.5818181818182,609.0636363636364,365.3636363636364,436.40909090909093,392.1045454545455
1997,220.5,420.95454545454544,694.7272727272729,216.3909090909091,388.1431818181819
1998,147.33636363636361,154.0727272727273,222.54545454545453,650.3090909090909,293.56590909090903
1999,365.54545454545456,561.7909090909089,668.0363636363637,431.2454545454546,506.6545454545455
2000,221.95454545454547,847.5818181818181,445.99090909090916,406.3818181818182,480.47727272727275
2001,364.0909090909091,566.5090909090909,526.0272727272727,337.1454545454545,448.44318181818176
2002,275.24545454545455,1167.3545454545454,364.1363636363636,344.27272727272725,537.7522727272726
2003,331.1545454545455,371.25454545454545,612.4636363636365,373.64545454545447,422.12954545454545
2004,566.4818181818182,279.0272727272727,655.7181818181818,164.36363636363637,416.39772727272725
2005,354.2090909090909,362.46363636363634,467.5545454545454,378.8818181818182,390.7772727272727
2006,200.0,773.6181818181817,448.1636363636364,408.12727272727267,457.4772727272727
2007,145.9727272727273,241.3727272727273,652.0636363636364,464.9,376.07727272727277
2008,300.41818181818184,438.80909090909086,569.6181818181818,477.0727272727272,446.4795454545455
2009,491.1363636363636,625.4909090909092,370.2,667.1363636363636,538.4909090909091
2010,259.82,349.37,455.18999999999994,260.35,331.1825
2011,580.92,479.87,641.22,497.89,549.975
2012,481.2099999999999,719.0,1075.5500000000002,433.56000000000006,677.33
2013,365.43,355.48,813.9300000000001,627.63,540.6175000000001
2014,320.61999999999995,585.3399999999999,533.95,542.47,495.59499999999997
2015,298.96,527.5,543.0600000000001,431.30999999999995,450.2075
2016,312.85999999999996,516.22,714.37,398.29,485.43499999999995
2017,309.17999999999995,543.1400000000001,587.22,366.18,451.43
2018,432.89,687.9800000000001,542.24,410.63,518.4350000000001
2019,328.28999999999996,522.72,629.8,402.56,470.8425
2020,321.59,508.96000000000004,495.75,373.72,425.005
2021,318.30999999999995,542.82,504.41999999999996,393.98,439.8825
2022,302.03999999999996,506.2000000000001,553.36,420.9,445.625
2023,320.67999999999995,569.0600000000001,547.331,426.65,465.93025
2024,323.6866666666667,553.5077777777778,393.85333333333335,503.3166666666667,443.5911111111111
