station,month,used_normal,total_months,fraction_used
Ambulong,aug,8,46,0.17391304347826086
Ambulong,jul,9,46,0.1956521739130435
Ambulong,jun,10,46,0.21739130434782608
Ambulong,sep,9,46,0.1956521739130435
Baguio,aug,7,46,0.15217391304347827
Baguio,jul,10,46,0.21739130434782608
Baguio,jun,8,46,0.17391304347826086
Baguio,sep,9,46,0.1956521739130435
Coron,aug,8,46,0.17391304347826086
Coron,jul,8,46,0.17391304347826086
Coron,jun,8,46,0.17391304347826086
Coron,sep,8,46,0.17391304347826086
Cuyo,aug,5,46,0.10869565217391304
Cuyo,jul,9,46,0.1956521739130435
Cuyo,jun,12,46,0.2608695652173913
Cuyo,sep,5,46,0.10869565217391304
Dagupan,aug,12,46,0.2608695652173913
Dagupan,jul,14,46,0.30434782608695654
Dagupan,jun,14,46,0.30434782608695654
Dagupan,sep,10,46,0.21739130434782608
Iba,aug,5,46,0.10869565217391304
Iba,jul,9,46,0.1956521739130435
Iba,jun,7,46,0.15217391304347827
Iba,sep,8,46,0.17391304347826086
Iloilo,aug,0,31,0.0
Iloilo,jul,0,31,0.0
Iloilo,jun,0,31,0.0
Iloilo,sep,0,31,0.0
Laoag,aug,11,46,0.2391304347826087
Laoag,jul,10,46,0.21739130434782608
Laoag,jun,10,46,0.21739130434782608
Laoag,sep,11,46,0.2391304347826087
Port Area,aug,13,45,0.28888888888888886
Port Area,jul,12,45,0.26666666666666666
Port Area,jun,13,45,0.28888888888888886
Port Area,sep,11,45,0.24444444444444444
Sangley Point,aug,3,46,0.06521739130434782
Sangley Point,jul,4,46,0.08695652173913043
Sangley Point,jun,3,46,0.06521739130434782
Sangley Point,sep,2,46,0.043478260869565216
Science Garden,aug,11,46,0.2391304347826087
Science Garden,jul,11,46,0.2391304347826087
Science Garden,jun,11,46,0.2391304347826087
Science Garden,sep,11,46,0.2391304347826087
