year,jun,jul,aug,sep,annual
1979,196.91793757660838,453.2079396143053,643.9566085573889,279.81051477592734,393.4732501310575
1980,206.68543447414928,550.542122848435,296.97429116487757,407.52963255355445,365.43287026025405
1981,481.96711693196374,346.5770666253143,378.60032440597274,241.36816920487934,362.12816929203257
1982,262.2695269602601,593.0020063937607,469.9485467561411,301.539982987595,406.69001577443925
1983,178.21728535947787,270.4737713141225,475.3390969026972,317.6136973358699,310.41096272804185
1984,425.7076863222354,226.1000478303683,678.3988437661285,164.84408656485053,373.76266612089574
1985,921.084197936293,216.60632199891563,483.18881023278607,263.57767058502844,471.1142501882558
1986,165.8089579324927,615.6513773327981,777.5404334925664,482.9481331567191,510.48722547864406
1987,275.46593697288995,242.66886996672778,308.8689056871085,349.19079439274986,294.048626754869
1988,369.0076247274728,459.1398713831181,254.35798689198984,261.9796391138213,336.1212805291005
1989,207.47721228977525,483.88226618528887,635.0048792591955,490.7707161634183,454.28376847441945
1990,510.84840874018533,521.2075106973082,690.1309268329323,451.8599121105954,543.5116895952553
1991,205.90735793218715,522.2185031351573,750.3885148535595,372.8579518803059,462.84308195030246
1992,218.11835772959316,348.93022848775286,691.1849421787269,455.7802971197269,428.50345637895
1993,264.6249539403271,379.53478713199166,471.56663061835104,315.90720961475137,357.9083953263553
1994,281.9961958097321,812.1685888535058,419.12810301763557,342.64254870030516,463.98385909529463
1995,252.38192545705536,366.47324119073653,526.3547565076581,485.8546810209928,407.76615104411064
1996,119.23082883662411,632.3544284278348,325.679910511092,434.6077409766912,377.96822718806055
1997,213.9412057018698,359.1404382933285,653.5864471796546,171.4990831169885,349.54179357296033
1998,125.20401550942324,136.58981694272933,202.71369492136137,612.2613936218526,269.1922302488416
1999,349.7895774476345,490.0908378634896,591.252293426275,414.3223253231084,461.36375851512685
2000,193.85333442746517,828.3342705908983,401.10459420438485,411.1282057995179,458.6051012555666
2001,341.092691076094,492.3062999953577,473.0252768949072,355.7667455685107,415.5477533837174
2002,218.21566159623794,1197.9042674701382,269.3190478887262,283.40046220822614,492.20985979083207
2003,322.98422196325714,293.0978304819392,514.3432828582279,341.24660279111527,367.91798452363486
2004,466.6718086809096,228.40325433603084,540.7066354035459,160.20558096084102,348.99681984533186
2005,324.29270476570355,272.51350942503296,403.41968135000263,402.4570845445748,350.67074502132846
2006,166.08275419926855,678.6271860289503,348.7944426495706,445.788213007112,409.82314897122535
2007,116.94787541587874,191.6322778275203,707.5038196277909,379.0679624880879,348.7879838398195
2008,265.16106768362476,525.3814152226096,544.2068059034017,428.4595629237202,440.8022129333391
2009,400.292271275648,621.8623050977934,290.64265351344727,677.4479698129633,497.56129992496295
2010,251.15643070347613,334.49824521920533,365.38554061024547,269.2052419369185,305.0613646174614
2011,618.0173025482748,441.26310192009726,588.0732625207621,466.33639754280193,528.422516132984
2012,403.2970850482496,650.7813535412814,1023.7849968258326,425.9844158597961,625.96196281879
2013,307.51456356313224,346.3925055286667,748.8391620848987,599.8814456609541,500.65691920941293
2014,253.40806308123211,461.788571688835,497.6467811645395,452.4563888372171,416.32495119295595
2015,257.6460212586513,463.1821579555057,470.6925401161221,386.0797225364633,394.4001104666856
2016,264.22724227482354,441.1446853592971,662.629412736202,346.08126999695355,428.52065259181904
2017,253.76572852903092,468.2320914849816,491.95113040437485,357.6856211635413,392.90864289548216
2018,379.89916129694603,550.7911587177653,494.4000244234878,352.8000529956143,444.47259935845335
2019,270.54347773553576,443.38548378146896,553.5174274717422,374.3959968961824,410.46059647123235
2020,277.4687276058981,430.13286594307704,448.67474404064995,339.3127137504543,373.8972628350199
2021,260.7910830421697,496.3610434199109,443.7332874205556,357.4345618275071,389.57999392753584
2022,247.8156877178674,425.9465544294727,488.2006538815287,387.24292204781,387.3014545191697
2023,276.0884582300358,485.2139115282992,476.853536899806,373.069396546698,402.80632580120977
2024,212.52130896772357,376.72102273318836,295.1453277023863,312.7585117610414,299.2865427910849
