YEAR,MONTH,DAY,BSISO1-1,BSISO1-2,BSISO2-1,BSISO2-2,BSISO1,BSISO2
1981,1,1,0.437,-0.02,0.716,0.159,0.437,0.733
1981,1,2,0.523,0.295,0.881,0.117,0.6,0.889
1981,1,3,0.07,0.494,0.409,0.404,0.499,0.575
1981,1,4,-0.267,0.195,0.285,0.292,0.33,0.408
1981,1,5,-0.24,0.559,0.188,0.247,0.609,0.311
1981,1,6,-0.241,0.833,0.23,0.597,0.867,0.64
1981,1,7,-0.323,0.794,-0.072,0.632,0.857,0.636
1981,1,8,-0.078,0.779,0.161,0.229,0.783,0.28
1981,1,9,-0.211,1.069,-0.091,0.212,1.089,0.231
1981,1,10,0.064,1.04,-0.014,0.682,1.042,0.682
1981,1,11,0.063,0.627,-0.126,0.804,0.63,0.814
1981,1,12,0.09,0.733,0.083,0.412,0.739,0.42
1981,1,13,0.005,0.797,0.142,0.472,0.797,0.493
1981,1,14,-0.067,0.672,0.134,-0.064,0.676,0.149
1981,1,15,-0.503,0.817,0.053,-0.51,0.96,0.513
1981,1,16,-0.884,0.56,-0.218,-0.838,1.047,0.866
1981,1,17,-1.118,0.514,-0.263,-1.061,1.231,1.093
1981,1,18,-1.125,0.649,-0.088,-1.314,1.299,1.316
1981,1,19,-0.896,0.703,-0.176,-1.137,1.139,1.15
1981,1,20,-0.932,0.665,-0.541,-0.553,1.145,0.774
1981,1,21,-1.162,0.822,-0.807,-0.291,1.423,0.858
1981,1,22,-1.129,0.635,-0.408,-0.605,1.296,0.73
1981,1,23,-0.606,0.879,-0.43,-1.223,1.068,1.297
1981,1,24,-0.293,1.351,-0.472,-1.133,1.383,1.228
1981,1,25,-0.108,1.268,-0.3,-0.627,1.273,0.695
1981,1,26,0.248,0.569,-0.185,-0.345,0.621,0.392
1981,1,27,0.275,-0.245,-0.143,-0.567,0.368,0.585
1981,1,28,0.35,-0.226,-0.042,-0.863,0.416,0.864
1981,1,29,0.398,-0.117,-0.067,-0.747,0.414,0.75
1981,1,30,0.593,-0.152,0.186,-0.638,0.612,0.665
1981,1,31,0.967,-0.241,0.147,-0.485,0.996,0.507
1981,2,1,0.501,-0.103,-0.152,0.13,0.511,0.2
1981,2,2,-0.034,-0.53,0.012,0.239,0.531,0.24
1981,2,3,0.025,-0.487,0.596,-0.104,0.488,0.605
1981,2,4,0.297,-0.433,0.537,-0.215,0.525,0.578
1981,2,5,0.293,-0.401,0.325,-1.118,0.497,1.164
1981,2,6,0.219,-0.053,0.098,-0.973,0.226,0.978
1981,2,7,0.269,-0.37,-0.047,-0.326,0.457,0.329
1981,2,8,0.429,-0.015,-0.357,0.094,0.429,0.369
1981,2,9,0.332,0.046,-0.549,0.149,0.335,0.569
1981,2,10,0.504,0.233,-0.476,-0.184,0.555,0.51
1981,2,11,0.153,0.631,-0.537,-0.028,0.649,0.538
1981,2,12,-0.049,0.856,-0.363,-0.185,0.857,0.408
1981,2,13,-0.1,0.696,0.172,-0.443,0.703,0.475
1981,2,14,-0.377,0.606,0.631,-0.05,0.714,0.633
1981,2,15,-0.591,0.105,0.754,-0.951,0.6,1.214
1981,2,16,-0.741,0.17,0.226,-0.475,0.76,0.526
1981,2,17,-0.651,-0.824,0.178,0.607,1.05,0.632
1981,2,18,-0.413,-1.177,0.358,-0.2,1.248,0.41
1981,2,19,0.248,-1.045,0.469,-0.328,1.074,0.572
1981,2,20,0.232,-1.135,0.041,0.139,1.159,0.145
1981,2,21,0.439,-0.811,-0.458,0.552,0.922,0.717
1981,2,22,0.453,-0.569,-0.9,0,0.727,0.9
1981,2,23,0.488,-0.635,-0.943,0.404,0.801,1.026
1981,2,24,0.313,-0.529,-0.992,0.862,0.615,1.314
1981,2,25,0.207,-0.223,-1.031,0.757,0.304,1.279
1981,2,26,0.269,-0.168,-0.962,0.758,0.317,1.225
1981,2,27,0.165,-0.632,-0.819,0.327,0.653,0.882
1981,2,28,0.19,-0.286,-0.921,-0.409,0.343,1.008
