year,month,day,PCx,PCy,phase,Amp(nrm),Amp(non-nrm)
1979,3,22,0.498,-0.575,7,0.761,221.2
1979,3,23,0.613,-0.465,8,0.77,218.8
1979,3,24,0.706,-0.337,8,0.782,217.9
1979,3,25,0.772,-0.196,8,0.797,218.7
1979,3,26,0.809,-0.046,8,0.81,220.8
1979,3,27,0.814,0.106,1,0.82,223.9
1979,3,28,0.785,0.253,1,0.825,227.4
1979,3,29,0.726,0.391,1,0.824,230.5
1979,3,30,0.636,0.511,1,0.816,232.7
1979,3,31,0.521,0.611,2,0.803,233.5
1979,4,1,0.385,0.684,2,0.785,232.6
1979,4,2,0.234,0.727,2,0.764,229.9
1979,4,3,0.074,0.739,2,0.743,225.4
1979,4,4,-0.086,0.719,3,0.724,219.4
1979,4,5,-0.241,0.666,3,0.708,212.6
1979,4,6,-0.381,0.584,3,0.697,205.4
1979,4,7,-0.502,0.475,4,0.691,198.8
1979,4,8,-0.597,0.345,4,0.69,193.5
1979,4,9,-0.661,0.199,4,0.691,190
1979,4,10,-0.691,0.044,4,0.693,188.8
1979,4,11,-0.686,-0.113,5,0.695,189.9
1979,4,12,-0.644,-0.264,5,0.696,193
1979,4,13,-0.568,-0.403,5,0.697,197.3
1979,4,14,-0.461,-0.523,6,0.697,202.3
1979,4,15,-0.326,-0.617,6,0.698,207.3
1979,4,16,-0.171,-0.681,6,0.702,211.9
1979,4,17,-0.002,-0.711,6,0.711,215.7
1979,4,18,0.173,-0.704,7,0.725,219
1979,4,19,0.347,-0.661,7,0.746,221.8
1979,4,20,0.51,-0.581,7,0.774,224.7
1979,4,21,0.656,-0.468,8,0.806,228.4
1979,4,22,0.776,-0.326,8,0.842,233.5
1979,4,23,0.866,-0.159,8,0.88,240.8
1979,4,24,0.919,0.025,1,0.919,250.5
1979,4,25,0.933,0.22,1,0.958,262.7
1979,4,26,0.905,0.417,1,0.997,277.2
1979,4,27,0.837,0.609,1,1.035,293.4
1979,4,28,0.728,0.787,2,1.072,310.6
1979,4,29,0.584,0.944,2,1.11,327.9
1979,4,30,0.408,1.074,2,1.149,344.5
1979,5,1,0.206,1.17,2,1.188,359.7
1979,5,2,-0.014,1.229,3,1.229,373.1
1979,5,3,-0.244,1.246,3,1.27,384.1
1979,5,4,-0.475,1.221,3,1.31,392.6
1979,5,5,-0.701,1.153,3,1.349,398.7
1979,5,6,-0.911,1.044,3,1.386,402.6
1979,5,7,-1.098,0.897,4,1.418,404.7
1979,5,8,-1.256,0.717,4,1.446,405.5
1979,5,9,-1.378,0.508,4,1.469,405.9
1979,5,10,-1.46,0.278,4,1.486,406.5
1979,5,11,-1.497,0.034,4,1.498,408.1
1979,5,12,-1.489,-0.216,5,1.505,411.1
1979,5,13,-1.435,-0.466,5,1.509,415.8
1979,5,14,-1.336,-0.706,5,1.511,422.4
1979,5,15,-1.195,-0.929,5,1.514,430.7
1979,5,16,-1.014,-1.129,6,1.518,440.3
1979,5,17,-0.8,-1.299,6,1.526,450.7
1979,5,18,-0.558,-1.435,6,1.539,461.4
