year,month,day,amplitude,phase,RMM1,RMM2
1974,6,1,2.02948,5,1.63447,1.20304
1974,6,2,1.89729,5,1.60289,1.01512
1974,6,3,1.86476,5,1.51625,1.08551
1974,6,4,1.83092,5,1.50981,1.03573
1974,6,5,2.0332601,5,1.55906,1.30518
1974,6,6,2.0269001,6,1.20626,1.62889
1974,6,7,1.82767,6,0.61110097,1.7224801
1974,6,8,1.8078901,6,0.326395,1.77818
1974,6,9,1.36018,6,9.38E-02,1.35694
1974,6,10,0.78024399,7,-8.61E-02,0.77547598
1974,6,11,0.405148,6,0.111394,0.389534
1974,6,12,0.121286,5,0.120489,1.39E-02
1974,6,13,0.218519,3,1.93E-02,-0.21766999
1974,6,14,0.395082,2,-0.10436,-0.38104999
1974,6,15,0.670775,2,-0.18294001,-0.64534998
1974,6,16,0.52686501,2,-0.23596001,-0.47106999
1974,6,17,0.697402,1,-0.49869001,-0.48752001
1974,6,18,0.67613399,1,-0.56980002,-0.36398
1974,6,19,0.78070498,1,-0.69502997,-0.35556999
1974,6,20,0.87101501,1,-0.72915,-0.47646001
1974,6,21,1.37523,1,-1.09443,-0.83275002
1974,6,22,1.3820601,1,-1.09851,-0.83867002
1974,6,23,1.17594,1,-1.06244,-0.50405002
1974,6,24,0.94265801,1,-0.88507003,-0.32444
1974,6,25,0.83530402,1,-0.76582003,-0.33355001
1974,6,26,0.93160701,1,-0.83446997,-0.41418001
1974,6,27,0.87841302,1,-0.80129999,-0.35989001
1974,6,28,0.63824999,1,-0.56441998,-0.29798999
1974,6,29,0.41344199,2,-9.70E-02,-0.40189001
1974,6,30,0.244017,3,9.15E-03,-0.24384999
1974,7,1,0.27472401,5,0.26054999,8.71E-02
1974,7,2,0.352501,5,0.26702401,0.23012
1974,7,3,0.52566898,6,0.355582,0.387155
1974,7,4,0.94582099,5,0.844383,0.42613801
1974,7,5,1.19004,5,1.1206599,0.40039399
1974,7,6,1.23006,5,1.07635,0.59540701
1974,7,7,1.191,6,0.81290197,0.870444
1974,7,8,1.17076,6,0.431732,1.08825
1974,7,9,1.1733299,6,8.10E-02,1.17053
1974,7,10,1.13609,7,-0.12074,1.12966
1974,7,11,1.03679,7,-0.27891999,0.99857098
1974,7,12,0.71643502,7,-0.13957,0.70270902
1974,7,13,0.45137301,7,-0.20472001,0.40228
1974,7,14,0.22811399,8,-0.19937,0.110841
1974,7,15,0.162691,2,-9.53E-02,-0.13186
1974,7,16,0.33138201,2,-0.10831,-0.31318
1974,7,17,0.50318003,2,-5.67E-03,-0.50314999
1974,7,18,0.48316699,3,0.17968801,-0.44850999
1974,7,19,0.55981499,3,0.285321,-0.48164999
1974,7,20,0.96085697,3,0.33098501,-0.90205002
1974,7,21,1.34219,3,0.364833,-1.29166
1974,7,22,1.25858,3,0.34641901,-1.20997
1974,7,23,1.11869,3,0.39280599,-1.04746
1974,7,24,0.98516703,3,0.44716999,-0.87783003
1974,7,25,0.95091301,3,0.45279199,-0.83618999
1974,7,26,0.98141599,3,0.556867,-0.80813003
1974,7,27,0.95257097,4,0.73983401,-0.60003
1974,7,28,0.78726202,4,0.66544199,-0.42067999
1974,7,29,0.79650301,4,0.78544903,-0.13224
1974,7,30,1.1377,5,1.13624,5.75E-02
1974,7,31,1.41652,5,1.2519799,0.66262197
1974,8,1,1.62585,5,1.30887,0.96449101
1974,8,2,1.84513,5,1.33118,1.27768
1974,8,3,1.93527,6,1.33971,1.39658
1974,8,4,2.0284901,6,1.24842,1.59883
1974,8,5,1.86884,6,0.83587003,1.6715
1974,8,6,1.8205301,6,0.53584999,1.73989
1974,8,7,1.77856,6,0.123568,1.77426
1974,8,8,1.7367001,7,-0.14636999,1.73052
1974,8,9,1.45134,7,-0.20364,1.43698
1974,8,10,1.30731,6,0.217168,1.28915
1974,8,11,1.1893899,6,0.69975901,0.96175498
1974,8,12,1.2492,5,1.0636899,0.65503901
1974,8,13,1.30002,5,1.20518,0.48745301
1974,8,14,1.3704799,5,1.27891,0.49253401
1974,8,15,1.52645,5,1.44282,0.49833199
1974,8,16,1.4938101,5,1.48221,0.185792
1974,8,17,1.13237,5,1.13067,6.19E-02
1974,8,18,0.81199199,4,0.78694302,-0.20013
1974,8,19,0.53886199,4,0.432825,-0.32099
1974,8,20,0.35841301,4,0.29646799,-0.20141
1974,8,21,0.40070099,4,0.358073,-0.17985
1974,8,22,8.27E-02,1,-7.70E-02,-3.03E-02
1974,8,23,0.44964299,8,-0.44893,2.54E-02
1974,8,24,0.60282803,1,-0.60205001,-3.06E-02
1974,8,25,0.659073,8,-0.65280002,9.07E-02
1974,8,26,0.44441399,8,-0.41896999,0.148205
1974,8,27,0.33583999,1,-0.32314,-9.15E-02
1974,8,28,0.38325301,1,-0.29387,-0.24602
1974,8,29,0.47227401,1,-0.43109,-0.19288
1974,8,30,0.47503099,1,-0.43665001,-0.18707
1974,8,31,0.62401599,1,-0.55282998,-0.28942999
1974,9,1,0.80994099,1,-0.74307001,-0.32225999
1974,9,2,0.83363903,1,-0.75700998,-0.34913
1974,9,3,0.97522098,1,-0.85425001,-0.47042999
1974,9,4,1.10489,1,-0.94621998,-0.57047999
1974,9,5,1.21766,1,-0.95005,-0.76164001
1974,9,6,1.53587,2,-0.96430999,-1.19541
1974,9,7,1.70636,2,-0.82861,-1.49167
1974,9,8,1.52284,2,-0.80839998,-1.29056
1974,9,9,1.27185,2,-0.65211999,-1.0919501
1974,9,10,1.1807899,2,-0.41312999,-1.1061701
1974,9,11,1.16572,2,-0.56989002,-1.01692
1974,9,12,1.05687,2,-0.72498,-0.76901001
1974,9,13,0.94363898,1,-0.84693003,-0.41613999
1974,9,14,0.89880598,1,-0.87629998,-0.19989
1974,9,15,0.85077298,1,-0.80839998,-0.26515001
1974,9,16,0.89147198,1,-0.78055,-0.43065
1974,9,17,1.1726201,1,-1.06102,-0.49926001
1974,9,18,1.2481,1,-1.1999,-0.34349999
1974,9,19,1.2016799,1,-1.12629,-0.41894001
1974,9,20,0.93952203,1,-0.84605998,-0.40851
1974,9,21,0.98325902,1,-0.81788999,-0.54575998
1974,9,22,0.92444402,1,-0.67409998,-0.63260001
1974,9,23,0.81173003,1,-0.62136,-0.52231997
1974,9,24,0.581496,2,-0.38978001,-0.43151999
1974,9,25,0.52981597,1,-0.3881,-0.36067
1974,9,26,0.374062,1,-0.29288,-0.23269001
1974,9,27,0.22497,2,-6.47E-02,-0.21548
1974,9,28,0.40114099,3,8.21E-02,-0.39265001
1974,9,29,0.80975801,3,0.35314399,-0.72869998
1974,9,30,1.0454,3,0.55558002,-0.88555002
1974,10,1,1.07833,3,0.57893199,-0.90973997
1974,10,2,1.21628,3,0.75894701,-0.95043999
1974,10,3,1.06812,4,0.896649,-0.58042002
1974,10,4,0.776501,4,0.673576,-0.38633001
1974,10,5,0.64083397,4,0.63213599,-0.10522
1974,10,6,0.54852003,5,0.51666898,0.184193
1974,10,7,0.956662,5,0.83917898,0.45932499
1974,10,8,1.09771,5,1.0339299,0.36872
1974,10,9,1.28746,5,1.26917,0.216249
1974,10,10,1.52659,5,1.51384,0.19686399
1974,10,11,1.64218,5,1.6412899,5.41E-02
1974,10,12,1.58697,4,1.58476,-8.36E-02
1974,10,13,1.47674,4,1.4619499,-0.20847
1974,10,14,1.26411,4,1.24914,-0.19396999
1974,10,15,1.06163,4,1.03918,-0.21719
1974,10,16,1.06695,4,1.06576,-5.05E-02
1974,10,17,1.19104,5,1.17822,0.174274
1974,10,18,1.26583,5,1.20346,0.392461
1974,10,19,1.3560801,5,1.24572,0.535869
1974,10,20,1.43345,5,1.28298,0.63932902
1974,10,21,1.4773099,5,1.284,0.73060203
1974,10,22,1.40479,5,1.16142,0.790281
1974,10,23,1.11277,5,0.90081602,0.65329099
1974,10,24,0.69498903,6,0.462304,0.51892698
1974,10,25,0.56861198,6,8.08E-02,0.56284499
1974,10,26,0.33825999,7,-0.1288,0.312778
1974,10,27,0.215793,1,-0.17058,-0.13217001
1974,10,28,0.42251199,2,-6.46E-02,-0.41755
1974,10,29,0.23669299,3,1.51E-02,-0.23621
1974,10,30,0.238581,4,0.23195,-5.59E-02
1974,10,31,0.50576901,5,0.50510299,2.59E-02
1974,11,1,0.55622399,5,0.52768499,0.175881
1974,11,2,0.54531503,6,0.32781199,0.43578401
1974,11,3,0.76624799,6,0.29864299,0.70565403
1974,11,4,0.71541703,6,0.45745999,0.55004698
