year,month,day,PCx,PCy,phase,Amp(nrm),Amp(non-nrm)
1979,3,22,1.223,-0.908,8,1.523,553.5
1979,3,23,1.391,-0.705,8,1.56,569.3
1979,3,24,1.526,-0.484,8,1.601,586.2
1979,3,25,1.623,-0.251,8,1.642,602.3
1979,3,26,1.678,-0.012,8,1.678,615.9
1979,3,27,1.69,0.226,1,1.705,625.7
1979,3,28,1.659,0.456,1,1.721,630.5
1979,3,29,1.586,0.672,1,1.723,629.6
1979,3,30,1.472,0.868,1,1.709,622.9
1979,3,31,1.322,1.037,1,1.68,610.4
1979,4,1,1.14,1.174,2,1.637,592.5
1979,4,2,0.933,1.276,2,1.581,570
1979,4,3,0.707,1.339,2,1.514,544
1979,4,4,0.47,1.361,2,1.44,515.6
1979,4,5,0.23,1.342,2,1.361,486.5
1979,4,6,-0.004,1.283,3,1.283,458
1979,4,7,-0.226,1.186,3,1.207,431.5
1979,4,8,-0.428,1.055,3,1.139,408.2
1979,4,9,-0.602,0.896,3,1.079,388.8
1979,4,10,-0.744,0.714,4,1.031,373.5
1979,4,11,-0.849,0.515,4,0.993,361.8
1979,4,12,-0.914,0.309,4,0.964,352.9
1979,4,13,-0.937,0.101,4,0.943,345.9
1979,4,14,-0.92,-0.099,5,0.925,339.6
1979,4,15,-0.864,-0.285,5,0.91,333
1979,4,16,-0.772,-0.45,5,0.893,325.7
1979,4,17,-0.649,-0.587,5,0.875,317.4
1979,4,18,-0.501,-0.692,6,0.854,308.1
1979,4,19,-0.336,-0.76,6,0.831,298.2
1979,4,20,-0.159,-0.791,6,0.806,288.3
1979,4,21,0.019,-0.782,7,0.782,279.2
1979,4,22,0.193,-0.734,7,0.759,271.6
1979,4,23,0.354,-0.651,7,0.741,266.3
1979,4,24,0.495,-0.536,7,0.729,263.7
1979,4,25,0.61,-0.393,8,0.726,264.2
1979,4,26,0.695,-0.229,8,0.732,267.8
1979,4,27,0.745,-0.05,8,0.747,274.2
1979,4,28,0.76,0.135,1,0.772,283.1
1979,4,29,0.738,0.32,1,0.804,294
1979,4,30,0.68,0.497,1,0.842,306.3
1979,5,1,0.59,0.658,2,0.884,319.5
1979,5,2,0.47,0.798,2,0.926,333
1979,5,3,0.325,0.911,2,0.967,346.4
1979,5,4,0.163,0.991,2,1.004,359
1979,5,5,-0.011,1.037,3,1.037,370.2
1979,5,6,-0.189,1.045,3,1.062,379.6
1979,5,7,-0.364,1.016,3,1.079,386.6
1979,5,8,-0.529,0.951,3,1.088,391.1
1979,5,9,-0.678,0.851,3,1.088,392.7
1979,5,10,-0.804,0.72,4,1.08,391.5
1979,5,11,-0.903,0.564,4,1.065,387.9
1979,5,12,-0.971,0.387,4,1.045,382.3
1979,5,13,-1.005,0.195,4,1.024,375.5
1979,5,14,-1.005,-0.004,5,1.005,368.8
1979,5,15,-0.97,-0.203,5,0.991,363.3
1979,5,16,-0.902,-0.398,5,0.985,360.1
1979,5,17,-0.803,-0.579,5,0.99,360.1
1979,5,18,-0.678,-0.743,6,1.006,363.9
1979,5,19,-0.532,-0.884,6,1.032,371.2
1979,5,20,-0.369,-0.998,6,1.064,381.2
1979,5,21,-0.195,-1.081,6,1.099,392.8
1979,5,22,-0.018,-1.133,6,1.133,404.5
1979,5,23,0.157,-1.151,7,1.161,415
1979,5,24,0.325,-1.136,7,1.182,422.9
1979,5,25,0.479,-1.09,7,1.191,427.2
1979,5,26,0.615,-1.015,7,1.187,427.2
1979,5,27,0.73,-0.915,7,1.17,422.4
1979,5,28,0.819,-0.793,8,1.14,413
1979,5,29,0.882,-0.653,8,1.098,399
1979,5,30,0.918,-0.501,8,1.045,381.4
1979,5,31,0.925,-0.342,8,0.987,360.9
1979,6,1,0.907,-0.18,8,0.925,339.1
1979,6,2,0.865,-0.02,8,0.865,317.5
1979,6,3,0.801,0.132,1,0.812,297.8
1979,6,4,0.719,0.274,1,0.77,281.6
1979,6,5,0.623,0.402,1,0.742,270.1
1979,6,6,0.517,0.513,1,0.729,263.8
1979,6,7,0.405,0.605,2,0.728,262.3
1979,6,8,0.291,0.677,2,0.737,264.3
1979,6,9,0.18,0.728,2,0.75,268.1
1979,6,10,0.073,0.758,2,0.762,272
1979,6,11,-0.025,0.768,3,0.768,274.4
1979,6,12,-0.112,0.759,3,0.768,274.3
1979,6,13,-0.186,0.734,3,0.757,270.8
1979,6,14,-0.247,0.693,3,0.736,263.6
